#Kb Vr Ebend
0.002 0.200384 0.101407
0.002 0.249948 0.100778
0.002 0.300057 0.100565
0.002 0.350114 0.100549
0.002 0.400045 0.100297
0.002 0.450104 0.0999885
0.002 0.500947 0.10802
0.002 0.550486 0.101985
0.002 0.560345 0.100684
0.002 0.571209 0.0994335
0.002 0.580408 0.0979972
0.002 0.591093 0.0969858
0.002 0.600603 0.0956168
0.002 0.611345 0.0944181
0.002 0.620989 0.0931655
0.002 0.630918 0.0918755
0.002 0.640959 0.0908948
0.002 0.651443 0.0895103
0.002 0.661233 0.0883026
0.002 0.670587 0.0870385
0.002 0.701458 0.083707
0.002 0.751302 0.0743192
0.002 0.801492 0.0686784
0.002 0.851267 0.0637944
0.002 0.901902 0.059009
0.002 0.951969 0.0543696
