#Kb Vr Ebend
0.002 0.20144 0.0956668
0.002 0.249446 0.133306
0.002 0.301185 0.0928247
0.002 0.349951 0.092853
0.002 0.399258 0.0927826
0.002 0.450157 0.100683
0.002 0.4994 0.0926685
0.002 0.550726 0.10229
0.002 0.560524 0.100874
0.002 0.570084 0.0997871
0.002 0.580902 0.0984011
0.002 0.590846 0.0973105
0.002 0.600579 0.0958278
0.002 0.610698 0.0947176
0.002 0.621004 0.0933224
0.002 0.630621 0.0921215
0.002 0.640272 0.0909701
0.002 0.650276 0.0895597
0.002 0.660939 0.0884545
0.002 0.671015 0.0872869
0.002 0.701249 0.0837838
0.002 0.750867 0.0775046
0.002 0.800918 0.0688017
0.002 0.850893 0.0638204
0.002 0.901385 0.059104
0.002 0.951912 0.0544849
