#Kb Vr Ebend
0.002 0.200604 0.100782
0.002 0.250658 0.100253
0.002 0.299831 0.0998348
0.002 0.350278 0.0998144
0.002 0.399914 0.0994189
0.002 0.450916 0.0986777
0.002 0.480349 0.0984515
0.002 0.49044 0.0985618
0.002 0.499278 0.098431
0.002 0.510198 0.0982596
0.002 0.520273 0.0983326
0.002 0.530177 0.0982769
0.002 0.539757 0.0981227
0.002 0.550709 0.0984199
0.002 0.56079 0.098145
0.002 0.569397 0.0979527
0.002 0.580541 0.0981699
0.002 0.590742 0.0982044
0.002 0.60074 0.0980574
0.002 0.61037 0.0979379
0.002 0.620668 0.0977676
0.002 0.630528 0.0975547
0.002 0.640652 0.0973241
0.002 0.650802 0.0972744
