#Kb Vr Ebend
0.01 0.199316 0.682927
0.01 0.25039 0.537236
0.01 0.300429 0.525268
0.01 0.351455 0.531504
0.01 0.400823 0.518833
0.01 0.451697 0.56429
0.01 0.5037 0.554047
0.01 0.553558 0.521342
0.01 0.562925 0.515306
0.01 0.574335 0.508367
0.01 0.58352 0.501654
0.01 0.593255 0.495296
0.01 0.603596 0.487874
0.01 0.614778 0.481381
0.01 0.624438 0.474545
0.01 0.633964 0.468616
0.01 0.644964 0.461318
0.01 0.654954 0.455123
0.01 0.665648 0.448255
0.01 0.705765 0.423993
0.01 0.756503 0.37483
0.01 0.80628 0.345669
0.01 0.856252 0.32139
0.01 0.906995 0.296472
0.01 0.957551 0.272339
