#Kb Vr Ebend
0.01 0.200783 0.522069
0.01 0.252586 0.502935
0.01 0.303141 0.508661
0.01 0.352207 0.505974
0.01 0.402106 0.509527
0.01 0.451916 0.507478
0.01 0.485598 0.722863
0.01 0.472899 0.511607
0.01 0.52234 0.641181
0.01 0.56869 0.562565
0.01 0.57836 0.547053
0.01 0.587885 0.533274
0.01 0.597368 0.521655
0.01 0.606772 0.507658
0.01 0.616351 0.496075
0.01 0.625868 0.484973
0.01 0.635564 0.473914
0.01 0.644838 0.465368
0.01 0.653819 0.456222
0.01 0.663607 0.445442
0.01 0.673439 0.43664
0.01 0.711663 0.403932
0.01 0.759944 0.372336
0.01 0.809272 0.345374
0.01 0.859046 0.319442
0.01 0.908846 0.295714
0.01 0.958744 0.271738
