#Kb Vr Ebend
0.01 0.200068 0.787415
0.01 0.250085 0.701674
0.01 0.301019 0.651355
0.01 0.350701 0.623567
0.01 0.400637 0.544919
0.01 0.451214 0.580474
0.01 0.501642 0.555618
0.01 0.551743 0.521965
0.01 0.561913 0.515783
0.01 0.572537 0.509068
0.01 0.582874 0.500864
0.01 0.592262 0.496619
0.01 0.60235 0.488743
0.01 0.612804 0.482132
0.01 0.622974 0.476041
0.01 0.632836 0.470311
0.01 0.642817 0.462925
0.01 0.653919 0.455513
0.01 0.663828 0.449791
0.01 0.704673 0.408477
0.01 0.754158 0.375036
0.01 0.804675 0.346526
0.01 0.855212 0.321271
0.01 0.905955 0.296663
0.01 0.956488 0.272451
