#Kb Vr Ebend
#0.002 0.200404 0.09259
0.002 0.250982 0.100315
0.002 0.300703 0.100484
0.002 0.350751 0.100686
0.002 0.400953 0.100232
0.002 0.450672 0.100168
0.002 0.504384 0.13415
0.002 0.554158 0.116338
0.002 0.561539 0.102969
0.002 0.573435 0.110285
0.002 0.583066 0.107377
0.002 0.593002 0.104965
0.002 0.602961 0.101812
0.002 0.612995 0.0994746
0.002 0.623264 0.097257
0.002 0.633193 0.0949938
0.002 0.643165 0.0928947
0.002 0.652725 0.0911993
0.002 0.662947 0.0890032
0.002 0.672777 0.0870267
0.002 0.682767 0.08531
0.002 0.692789 0.0836896
0.002 0.702767 0.0820641
0.002 0.712276 0.08059
0.002 0.721947 0.079239
0.002 0.732263 0.0776917
0.002 0.742322 0.0765739
0.002 0.752439 0.0752209
0.002 0.802291 0.0694447
0.002 0.852339 0.0644687
0.002 0.902037 0.059701
0.002 0.951868 0.0549621
