#Kb Vr Ebend
0.002 0.199871 0.101208
#0.002 nan nan
#0.002 nan nan
#0.002 nan nan
#0.002 nan nan
#0.002 0.449828 0.10587
0.002 0.50007 0.109344
0.002 0.55095 0.102714
0.002 0.561134 0.101229
0.002 0.570422 0.10015
0.002 0.580486 0.0989096
0.002 0.591117 0.0975279
0.002 0.600649 0.0962698
0.002 0.610399 0.0948946
0.002 0.620658 0.0937796
0.002 0.630986 0.0924519
0.002 0.641362 0.0912261
0.002 0.651578 0.0897768
0.002 0.66122 0.0886005
0.002 0.671332 0.0874109
0.002 0.701607 0.0836925
0.002 0.752055 0.0742022
0.002 0.801536 0.0686884
0.002 0.851131 0.063787
0.002 0.901934 0.0589941
0.002 0.951808 0.0543923
