#Kb Vr Ebend
0.002 nan nan
0.002 0.249828 0.287267
0.002 0.298064 0.765358
0.002 nan nan
0.002 0.399921 0.161447
0.002 0.450119 0.0991945
0.002 0.500115 0.100069
0.002 0.550899 0.102688
0.002 0.560856 0.101188
0.002 0.570387 0.100119
0.002 0.580501 0.0992038
0.002 0.590963 0.0974963
0.002 0.601045 0.0963465
0.002 0.610326 0.0950449
0.002 0.620292 0.0937876
0.002 0.630539 0.0924857
0.002 0.641073 0.0911423
0.002 0.650863 0.0899462
0.002 0.660723 0.0887611
0.002 0.670745 0.0876018
0.002 0.700799 0.0838835
0.002 0.7514 0.0742963
0.002 0.800757 0.0688058
0.002 0.85171 0.0637479
0.002 0.9012 0.059077
0.002 0.951661 0.054449
