#Kb Vr Ebend
0.001 0.199919 0.0754752
0.001 0.250046 0.0752863
0.001 0.300189 0.0503712
0.001 0.350079 0.0503699
0.001 0.400086 0.0595645
0.001 0.450073 0.0503298
0.001 0.500079 0.0502236
0.001 0.550214 0.052474
0.001 0.56018 0.0518732
0.001 0.570389 0.0511607
0.001 0.580753 0.0543556
0.001 0.590865 0.0529561
0.001 0.600673 0.0516825
0.001 0.610828 0.0503999
0.001 0.620785 0.0491991
0.001 0.630825 0.0480244
0.001 0.640773 0.0469543
0.001 0.650748 0.0458945
0.001 0.660731 0.0449085
0.001 0.670737 0.0439106
