#Kb Vr Ebend
0.001 0.200144 0.075435
0.001 0.250305 0.050309
0.001 0.300213 0.0503828
0.001 0.350325 0.0503573
0.001 0.400133 0.0503578
0.001 0.450175 0.050213
0.001 0.500137 0.0501437
0.001 0.550777 0.0524535
0.001 0.56077 0.0518376
0.001 0.57081 0.0511504
0.001 0.581733 0.0542408
0.001 0.590823 0.0498237
0.001 0.601633 0.0516766
0.001 0.611573 0.0503384
0.001 0.621593 0.0490889
0.001 0.631523 0.0479225
0.001 0.641495 0.0468582
0.001 0.651451 0.0457896
0.001 0.661399 0.0447951
0.001 0.671317 0.043833
