#Kb Vr Ebend
0.001 0.199995 0.110805
0.001 0.249966 0.0885199
0.001 0.300074 0.0509056
0.001 0.350058 0.0506751
0.001 0.400045 0.0504659
0.001 0.45007 0.0504471
0.001 0.500088 0.0522385
0.001 0.550786 0.0524353
0.001 0.560063 0.0518737
0.001 0.569682 0.0512018
0.001 0.580124 0.0505021
0.001 0.590565 0.0498277
0.001 0.600334 0.0491835
0.001 0.609811 0.0485224
0.001 0.620745 0.0479027
0.001 0.630811 0.047214
0.001 0.640003 0.0465994
0.001 0.650408 0.0459075
0.001 0.660963 0.0452896
0.001 0.670555 0.0446264
