#Kb Vr Ebend
0.002 0.500277 0.0191845
0.002 0.510316 0.0178432
0.002 0.520503 0.0137532
0.002 0.530294 0.0126548
0.002 0.540428 0.0116758
0.002 0.550417 0.0111544
0.002 0.560513 0.0105566
0.002 0.570343 0.00989442
0.002 0.580354 0.00939503
0.002 0.590259 0.00883387
0.002 0.599928 0.00835215
0.002 0.610111 0.00794141
0.002 0.620662 0.00716212
0.002 0.630115 0.0066115
0.002 0.64058 0.00581601
0.002 0.650151 0.00543182
0.002 0.660132 0.00492702
0.002 0.670271 0.00440216
0.002 0.680155 0.00422677
0.002 0.689964 0.00385091
0.002 0.699319 0.00472762
