#Kb Vr Ebend
0.002 0.501942 0.0429819
0.002 0.512022 0.0398853
0.002 0.521763 0.0375033
0.002 0.531387 0.0354199
0.002 0.541547 0.0330187
0.002 0.551103 0.0314025
0.002 0.56117 0.0292362
0.002 0.571496 0.0272394
0.002 0.58123 0.0257521
0.002 0.591023 0.0242894
0.002 0.601102 0.0226842
0.002 0.611036 0.0212512
0.002 0.621123 0.0198832
0.002 0.6312 0.0187723
0.002 0.641014 0.0174817
0.002 0.650936 0.0163026
0.002 0.660822 0.015101
0.002 0.6708 0.014079
0.002 0.680511 0.0134108
0.002 0.69011 0.0125971
0.002 0.700411 0.011962
