#Kb Vr Ebend
0.002 0.499604 0.0134778
0.002 0.510081 0.00654224
0.002 0.520082 0.00580198
0.002 0.530012 0.00970067
0.002 0.540036 0.00473755
0.002 0.549812 0.00314081
0.002 0.560048 0.00624242
0.002 0.570075 0.00899398
0.002 0.579888 0.00758695
0.002 0.589705 0.00484817
0.002 0.599948 0.00771501
0.002 0.610083 0.00378783
0.002 0.619974 0.00784983
0.002 0.630099 0.00329249
0.002 0.640269 0.0030583
0.002 0.650076 0.00339211
0.002 0.660175 0.00222197
0.002 0.670141 0.00175429
0.002 0.680188 0.0017627
0.002 0.690129 0.0028125
0.002 0.700155 0.00130627
