#Kb Vr Ebend
0.01 0.998253 0.252002
0.01 0.951801 0.274796
0.01 0.899156 0.299367
0.01 0.848077 0.324779
0.01 0.827952 0.33435
0.01 0.80815 0.344192
0.01 0.789745 0.353689
0.01 0.770658 0.365234
0.01 0.752467 0.375849
0.01 0.730517 0.407011
0.01 0.709509 0.419561
0.01 0.688473 0.433111
0.01 0.677734 0.440056
0.01 0.6674 0.445513
0.01 0.656818 0.453317
0.01 0.646259 0.459264
0.01 0.635345 0.466617
0.01 0.624906 0.473256
0.01 0.614312 0.480214
0.01 0.603582 0.487647
0.01 0.592867 0.493512
0.01 0.582327 0.501182
0.01 0.571538 0.507693
0.01 0.561063 0.514322
0.01 0.55027 0.521902
0.01 0.539609 0.529797
0.01 0.46724 0.49997
0.01 0.418209 0.499957
0.01 0.366693 0.497666
0.01 0.316922 0.501122
0.01 0.264237 0.498586
0.01 0.21339 0.5012
