#Kb Vr Ebend
0.01 0.998238 0.252343
0.01 0.951682 0.275036
0.01 0.899115 0.300142
0.01 0.848213 0.324197
0.01 0.828231 0.334415
0.01 0.80835 0.344269
0.01 0.789366 0.354205
0.01 0.770739 0.365218
0.01 0.752402 0.375802
0.01 0.734991 0.387004
0.01 0.718196 0.399293
0.01 0.701916 0.410838
0.01 0.693981 0.417814
0.01 0.685279 0.424872
0.01 0.677333 0.431995
0.01 0.668797 0.439036
0.01 0.66058 0.447741
0.01 0.651955 0.455248
0.01 0.643345 0.465584
0.01 0.635266 0.474201
0.01 0.625825 0.484705
0.01 0.61794 0.493991
0.01 0.609876 0.50328
0.01 0.601204 0.516301
0.01 0.592611 0.525437
0.01 0.585118 0.536226
0.01 0.544312 0.599097
0.01 0.504721 0.676527
0.01 0.468518 0.761848
0.01 0.42715 0.892214
0.01 nan nan
0.01 0.352282 1.24383
