#Kb Vr Ebend
0.01 0.998265 0.25245
0.01 0.951736 0.274547
0.01 0.899221 0.299479
0.01 0.847996 0.324164
0.01 0.828384 0.333764
0.01 0.808753 0.344538
0.01 0.798714 0.350034
0.01 0.789294 0.354511
0.01 0.770721 0.364967
0.01 0.752343 0.376286
0.01 0.73524 0.386893
0.01 0.718092 0.398004
0.01 0.699015 0.427151
0.01 0.688649 0.433213
0.01 0.693468 0.417352
0.01 0.667188 0.446488
0.01 0.656617 0.453224
0.01 0.645975 0.4608
0.01 0.635639 0.466706
0.01 0.624835 0.47311
0.01 0.614302 0.479515
0.01 0.603775 0.487206
0.01 0.592869 0.493835
0.01 0.582232 0.501389
0.01 0.571783 0.507265
0.01 0.560851 0.515467
0.01 0.550458 0.521799
0.01 0.539741 0.528417
0.01 0.467748 0.500727
0.01 0.418362 0.505369
0.01 0.365902 0.497729
0.01 0.31694 0.497238
0.01 0.262837 0.49699
0.01 0.212975 0.496775
