#Kb Vr Ebend Vr_input
0.010000 0.797129 0.034643 0.800000
0.010000 0.781737 0.039908 0.780000
0.010000 0.759594 0.042576 0.760000
0.010000 0.739213 0.037207 0.740000
0.010000 0.713790 0.045269 0.720000
0.010000 0.699133 0.049813 0.700000
0.010000 0.689503 0.010067 0.680000
0.010000 0.676908 0.011412 0.660000
0.010000 0.659890 0.015125 0.640000
0.010000 0.640246 0.019769 0.620000
0.010000 0.619116 0.025110 0.600000
0.010000 0.597651 0.030111 0.580000
0.010000 0.576197 0.059545 0.560000
0.010000 0.557641 0.039420 0.540000
0.010000 0.536404 0.059742 0.520000
0.010000 0.527518 0.049484 0.500000
