#Kb Vr Ebend Da1 H1
0.001000 0.643725 0.048860 0.100000 7.649447
0.001000 0.000000 0.049203 0.120000 9.524217
0.001000 0.000000 0.048242 0.140000 13.014167
0.001000 0.000000 0.046047 0.160000 13.037163
0.001000 0.000000 0.045116 0.180000 13.052374
0.001000 0.000000 0.045403 0.200000 13.064113
0.001000 0.000000 0.046858 0.220000 13.708295
0.001000 0.000000 0.045115 0.240000 16.357581
0.001000 0.000000 0.046225 0.260000 16.434702
0.001000 0.000000 0.048638 0.280000 16.548184
#0.001000 0.000000 0.052017 0.300000 16.681244
