#Kb Vr Ebend Da1 H1
0.001000 0.643149 0.049572 0.100000 7.453882
0.001000 0.643420 0.049631 0.120000 8.327189
0.001000 0.644646 0.049634 0.140000 10.708734
0.001000 0.647922 0.047150 0.160000 13.039662
0.001000 0.647774 0.046090 0.180000 13.068777
0.001000 0.648032 0.046317 0.200000 13.106217
0.001000 0.651674 0.046077 0.220000 16.329623
0.001000 0.650764 0.045914 0.240000 16.490662
0.001000 0.649236 0.046875 0.260000 16.541660
#0.001000 0.648098 0.049098 0.280000 15.808064
#0.001000 0.646056 0.055893 0.300000 16.491102
