#Kb A/At V/Vt Vr Ebend Da
0.001 0.999012 1.006370 0.695424 0.043462 1
0.001 0.999037 1.007110 0.695908 0.042554 1.02
0.001 0.999037 1.007570 0.696229 0.042218 1.04
0.001 0.999011 1.007690 0.696336 0.042384 1.06
0.001 0.999029 1.008350 0.696778 0.042368 1.08
0.001 0.999017 1.009260 0.697420 0.042356 1.1
0.001 0.999004 1.009460 0.697572 0.042371 1.12
0.001 0.999050 1.010190 0.698022 0.042285 1.14
0.001 0.999029 1.010920 0.698552 0.042062 1.16
0.001 0.999038 1.012130 0.699378 0.041743 1.18
0.001 0.999038 1.012310 0.699502 0.041369 1.2
0.001 0.999038 1.013260 0.700160 0.040836 1.22
0.001 0.999087 1.006330 0.695318 0.041069 1.24
