#Kb A/At V/Vt Vr Ebend Da
0.001 0.999023 1.007100 0.595061 0.049026 1
0.001 0.999061 1.008410 0.595802 0.048925 1.05
0.001 0.999002 1.009190 0.596317 0.050224 1.1
0.001 0.999030 1.010190 0.596883 0.050703 1.12
0.001 0.999032 1.010160 0.596860 0.051075 1.14
0.001 0.999022 1.011190 0.597480 0.051476 1.16
0.001 0.999041 1.009990 0.596751 0.051846 1.18
0.001 0.999023 1.010680 0.597176 0.052164 1.2
0.001 0.999016 1.011780 0.597832 0.052331 1.22
0.001 0.999047 1.012280 0.598103 0.052702 1.25
#0.001 0.999030 1.011430 0.597611 0.053502 1.3
#0.001 0.999039 1.010340 0.596962 0.054127 1.35
