#Kb A/At V/Vt Vr Ebend Da
0.001 0.999003 1.003460 0.552728 0.052536 1
0.001 0.999006 1.004320 0.553201 0.052630 1.05
0.001 0.999002 1.004560 0.553336 0.054217 1.1
0.001 0.999001 1.004920 0.553534 0.055584 1.15
0.001 0.999000 1.005480 0.553845 0.056898 1.2
#0.001 0.999004 1.005870 0.554058 0.058223 1.25
0.001 0.999002 1.006590 0.554453 0.059119 1.3
0.001 0.999003 1.007220 0.554798 0.059887 1.35
0.001 0.999006 1.007850 0.555143 0.060402 1.4
#0.001 0.999002 1.013200 0.558098 0.058845 1.45
#0.001 0.999753 1.002950 0.551829 0.070606 1.5
