#Kb A/At V/Vt Vr Ebend Da
0.001 0.999001 1.006510 0.594729 0.050064 1
0.001 0.999003 1.008280 0.595776 0.049718 1.05
0.001 0.999001 1.008930 0.596160 0.051070 1.1
0.001 0.999002 1.009510 0.596505 0.051532 1.12
0.001 0.999004 1.009890 0.596728 0.051997 1.14
0.001 0.999003 1.009890 0.596727 0.052415 1.16
0.001 0.999002 1.010490 0.597082 0.052800 1.18
0.001 0.999003 1.011640 0.597762 0.053099 1.2
0.001 0.999004 1.012440 0.598235 0.053343 1.22
0.001 0.999006 1.013720 0.598988 0.053559 1.25
#0.001 0.999004 1.016750 0.600778 0.053604 1.3
#0.001 0.999005 1.020750 0.603145 0.052431 1.35
