dt s t A/A0 V/V0 v et eb ea ega ev ek ee ebl ebn es
1e-06 0 0 1 1.48409 0.952783 3606.73 482.92 0 0 3123.81 0 0 27.5977 455.322 0 
1e-06 100 0.0001 0.999111 0.9129 0.586863 1127.48 906.286 0 0.00988122 101.128 100.11 0 464.411 441.875 19.9454 
1e-06 200 0.0002 0.999038 0.814129 0.523425 1330.38 762.42 0 0.0115548 460.528 71.6327 0 367.085 395.335 35.7875 
1e-06 300 0.0003 0.999034 0.973617 0.625967 953.076 805.961 0 0.0116571 9.27886 28.2537 0 305.703 500.258 109.572 
1e-06 400 0.0004 0.999046 0.990656 0.636911 824.321 759.676 0 0.0113726 1.16386 14.2842 0 290.063 469.613 49.1851 
1e-06 500 0.0005 0.999018 1.06899 0.6873 766.566 659.152 0 0.0120362 63.4415 10.6693 0 215.308 443.843 33.2914 
1e-06 600 0.0006 0.999054 0.999304 0.642463 693.151 656.136 0 0.0111809 0.00646208 8.05358 0 239.863 416.273 28.9432 
1e-06 700 0.0007 0.999044 0.988265 0.635376 671.596 634.153 0 0.0114264 1.83582 8.15351 0 223.027 411.126 27.4422 
1e-06 800 0.0008 0.999045 1.00921 0.648843 655.707 616.386 0 0.0113893 1.13162 10.9089 0 204.893 411.492 27.2693 
1e-06 900 0.0009 0.999031 1.03809 0.667422 651.086 596.584 0 0.0117243 19.3396 8.23967 0 183.67 412.914 26.9105 
1e-06 1000 0.001 0.999008 1.01546 0.652895 620.194 578.999 0 0.0122917 3.1858 9.10214 0 165.441 413.558 28.8951 
1e-06 1100 0.0011 0.999123 0.999827 0.642733 613.754 573.712 0 0.00960424 0.000397298 10.563 0 159.766 413.946 29.4699 
1e-06 1200 0.0012 0.999091 0.996963 0.640922 611.207 568.012 0 0.0103211 0.122971 13.7191 0 153.715 414.297 29.3427 
1e-06 1300 0.0013 1.00016 0.998581 0.640935 609.219 562.242 0 0.00031211 0.0268592 17.486 0 148.123 414.119 29.4643 
1e-06 1400 0.0014 0.999488 0.998496 0.641525 615.615 571.82 0 0.00327476 0.0301689 10.7394 0 152.394 419.426 33.022 
1e-06 1500 0.0015 1.00092 0.994262 0.637436 604.933 567.349 0 0.0105643 0.438839 6.05898 0 145.593 421.756 31.0752 
1e-06 1600 0.0016 1.0002 0.998876 0.641081 582.706 545.467 0 0.000521045 0.0168422 7.66851 0 125.936 419.531 29.5528 
1e-06 1700 0.0017 0.99909 1.00516 0.646195 577.714 547.487 0 0.0103363 0.355337 4.07417 0 126.215 421.272 25.7874 
1e-06 1800 0.0018 1.00068 1.00633 0.645408 577.098 543.315 0 0.00572649 0.5344 7.71105 0 123.134 420.181 25.5325 
1e-06 1900 0.0019 1.00095 1.00652 0.645269 575.814 535.002 0 0.0112342 0.567451 15.527 0 115.669 419.332 24.7068 
1e-06 2000 0.002 0.999534 0.984212 0.632304 629.424 598.746 0 0.00270844 3.32286 8.13814 0 177.038 421.708 19.2146 
1e-06 2100 0.0021 0.99973 1.01106 0.649362 591.182 553.099 0 0.000913208 1.6302 17.7044 0 132.657 420.442 18.747 
1e-06 2200 0.0022 0.999529 1.01662 0.653128 589.245 538.254 0 0.00277738 3.68011 28.6852 0 118.367 419.887 18.6229 
1e-06 2300 0.0023 0.997066 0.965468 0.622567 696.752 654.559 0 0.107538 15.8953 9.12444 0 224.328 430.231 17.0653 
1e-06 2400 0.0024 0.999103 0.992172 0.637832 652.035 620.978 0 0.0100626 0.816756 15.3579 0 197.178 423.799 14.8731 
1e-06 2500 0.0025 0.999103 1.02795 0.66083 616.086 568.829 0 0.0100524 10.4122 22.2245 0 145.46 423.369 14.6099 
1e-06 2600 0.0026 0.99926 1.0295 0.66167 601.088 547.311 0 0.00684862 11.5977 27.7141 0 124.066 423.246 14.4582 
1e-06 2700 0.0027 0.999562 1.01971 0.655084 597.295 541.933 0 0.00239415 5.17957 35.4224 0 119.872 422.061 14.7584 
1e-06 2800 0.0028 1.00065 1.00556 0.644936 592.904 538.875 0 0.00529496 0.41155 37.8281 0 118.783 420.091 15.785 
1e-06 2900 0.0029 1.00048 0.905317 0.580796 780.055 621.615 0 0.00285184 119.504 18.701 0 204.935 416.68 20.232 
1e-06 3000 0.003 0.999085 1.06181 0.682616 755.225 670.264 0 0.0104696 50.923 9.48637 0 238.493 431.771 24.5411 
1e-06 3100 0.0031 0.999059 0.988475 0.635496 699.427 667.275 0 0.0110598 1.77067 5.41834 0 245.552 421.723 24.9518 
1e-06 3200 0.0032 0.999013 0.999409 0.642571 661.322 625.218 0 0.0121815 0.00465465 9.05936 0 206.907 418.311 27.0279 
1e-06 3300 0.0033 0.999054 1.02533 0.659197 637.627 588.736 0 0.0111855 8.55383 10.116 0 172.006 416.73 30.2105 
1e-06 3400 0.0034 0.999027 1.02548 0.659321 616.53 564.83 0 0.0118203 8.65667 11.094 0 149.184 415.647 31.9366 
1e-06 3500 0.0035 0.999144 1.00563 0.646442 596.133 550.693 0 0.00915545 0.422306 14.402 0 135.525 415.168 30.607 
1e-06 3600 0.0036 0.999511 0.997927 0.641138 590.65 542.124 0 0.00299083 0.0572729 19.6803 0 127.045 415.079 28.7855 
1e-06 3700 0.0037 1.00069 0.953522 0.611525 636.62 578.111 0 0.00598099 28.7955 11.5211 0 151.351 426.759 18.1872 
1e-06 3800 0.0038 0.999773 0.963562 0.618816 614.868 559.537 0 0.000644564 17.6988 20.7692 0 133.421 426.116 16.8618 
1e-06 3900 0.0039 0.999754 1.03636 0.665586 650.7 604.81 0 0.000755207 17.6217 7.28204 0 166.094 438.715 20.9856 
