dt s t A/A0 V/V0 v et eb ea ega ev ek ee ebl ebn es
1e-06 0 0 1 1.48409 0.952783 3153.72 29.9123 0 0 3123.81 0 0 27.5977 2.31468 0 
1e-06 100 0.0001 0.988245 1.0622 0.694136 572.271 348.216 0 1.72633 51.5784 154.493 0 345.379 2.83641 16.2576 
1e-06 200 0.0002 0.999064 0.662692 0.426046 2119.14 474.088 0 0.010946 1516.66 76.5859 0 474.046 0.0413479 51.8015 
1e-06 300 0.0003 1.00013 1.08684 0.697616 924.816 257.922 0 0.000213107 100.535 155.4 0 250.399 7.52296 410.959 
1e-06 400 0.0004 0.999029 0.951429 0.611707 781.727 506.99 0 0.0117854 31.4479 84.0501 0 502.893 4.09675 159.228 
1e-06 500 0.0005 0.999054 1.02602 0.659641 559.186 338.516 0 0.0111783 9.02722 83.1477 0 335.108 3.40828 128.484 
1e-06 600 0.0006 0.999077 1.05396 0.677576 486.079 258.348 0 0.0106487 38.8071 73.2816 0 255.069 3.27898 115.631 
1e-06 700 0.0007 0.999124 1.00458 0.645788 425.297 246.344 0 0.00958223 0.279789 65.1328 0 243.469 2.87446 113.531 
1e-06 800 0.0008 0.999083 0.984424 0.632869 408.649 231.482 0 0.0104995 3.23384 66.4151 0 228.937 2.54485 107.507 
1e-06 900 0.0009 0.999782 0.984132 0.632018 394.806 219.308 0 0.00059133 3.35627 73.3095 0 217.015 2.29254 98.8316 
1e-06 1000 0.001 1.00315 0.896201 0.572656 621.35 250.85 0 0.123593 143.621 31.7745 0 249.675 1.17544 194.98 
