dt s t A/A0 V/V0 v et eb ea ega ev ek ee ebl ebn es
1e-05 0 0 1 1.55533 0.998522 4188.2 71.1605 0 0 4117.04 0 0 25.1804 45.9801 0 
1e-05 100 0.001 0.999249 1.01392 0.651669 263.368 240.522 0 0.00705987 2.5858 18.448 0 206.277 34.2445 1.80508 
1e-05 200 0.002 0.999553 1.01441 0.65169 226.872 220.762 0 0.00250373 2.77316 0.899821 0 180.548 40.2146 2.43419 
1e-05 300 0.003 0.999433 1.00483 0.645648 172.469 165.334 0 0.00401383 0.311141 4.22328 0 126.597 38.7369 2.59693 
1e-05 400 0.004 0.999236 1.00329 0.644851 146.668 141.523 0 0.00730796 0.144394 2.49969 0 108.531 32.9928 2.49314 
1e-05 500 0.005 0.999377 1.00303 0.644548 136.172 131.076 0 0.004861 0.122562 2.14694 0 99.7399 31.3361 2.82192 
1e-05 600 0.006 0.999005 1.00201 0.644255 125.672 118.941 0 0.0123895 0.0541872 3.55427 0 89.7248 29.2162 3.10982 
1e-05 700 0.007 0.999097 1.00099 0.643504 119.255 110.919 0 0.0101904 0.01297 4.96501 0 82.588 28.3306 3.34838 
1e-05 800 0.008 0.999058 1.00068 0.643343 115.706 108.537 0 0.0111019 0.00610176 3.83073 0 80.6243 27.9132 3.32088 
1e-05 900 0.009 0.999107 1.00105 0.643533 112.046 105.004 0 0.00996934 0.0145928 3.58411 0 77.2016 27.8025 3.43335 
1e-05 1000 0.01 0.99903 1.00105 0.643611 107.685 98.5645 0 0.011779 0.0147259 5.42048 0 71.029 27.5355 3.67374 
1e-05 1100 0.011 0.999174 1.00056 0.643153 104.954 94.7024 0 0.00852913 0.00412673 6.51988 0 68.2381 26.4643 3.71862 
1e-05 1200 0.012 0.999731 1.00007 0.642306 101.949 92.9746 0 0.000902503 7.28905e-05 5.19225 0 67.5737 25.4009 3.78069 
1e-05 1300 0.013 0.999102 1.00039 0.643114 99.4478 91.488 0 0.0100963 0.00198437 3.79297 0 67.3306 24.1573 4.15483 
1e-05 1400 0.014 0.999196 1.00027 0.642948 98.1184 89.8239 0 0.0080896 0.000959535 3.7639 0 66.6805 23.1434 4.52163 
1e-05 1500 0.015 0.999547 0.999978 0.642423 97.0076 88.8735 0 0.00256811 6.45149e-06 3.53881 0 66.3035 22.57 4.59274 
1e-05 1600 0.016 0.999805 0.999801 0.64206 96.0621 88.3091 0 0.000473199 0.000528723 3.1516 0 66.1641 22.145 4.60036 
1e-05 1700 0.017 1.00003 0.999651 0.64175 95.2333 87.9615 0 8.79762e-06 0.00162851 2.65304 0 66.1112 21.8503 4.6171 
1e-05 1800 0.018 1.00028 0.999602 0.641478 94.5271 87.6874 0 0.000958764 0.00211756 2.21373 0 65.9729 21.7144 4.62289 
1e-05 1900 0.019 1.00021 0.999712 0.641617 93.9342 87.4718 0 0.00053315 0.00110464 1.8092 0 65.7824 21.6894 4.65159 
1e-05 2000 0.02 0.999902 0.99981 0.641972 93.3969 87.114 0 0.000119643 0.000483476 1.57674 0 65.3785 21.7355 4.7055 
1e-05 2100 0.021 1.00003 0.999852 0.641871 92.8459 86.7301 0 1.52281e-05 0.000293246 1.35355 0 64.9166 21.8136 4.7619 
