#dt s t A/A0 V/V0 v et ega ev eb ebl ebn es
0.000286 14562000 4160.567268 0.999986 1.001427 0.642929 229.982795 0.000177 0.383140 70.802446 68.821100 1.981346 159.180172
0.000286 14562001 4160.567554 0.999986 1.001427 0.642929 229.984449 0.000177 0.383134 70.802544 68.821188 1.981356 159.181727
0.000286 14562002 4160.567839 0.999986 1.001427 0.642929 229.986108 0.000177 0.383127 70.802641 68.821276 1.981365 159.183290
0.000286 14562003 4160.568125 0.999986 1.001427 0.642929 229.987775 0.000178 0.383120 70.802739 68.821364 1.981375 159.184858
0.000286 14562004 4160.568411 0.999986 1.001427 0.642929 229.989447 0.000178 0.383113 70.802836 68.821452 1.981384 159.186433
0.000286 14562005 4160.568697 0.999986 1.001427 0.642929 229.991126 0.000178 0.383106 70.802934 68.821540 1.981394 159.188014
0.000286 14562006 4160.568982 0.999986 1.001427 0.642929 229.992811 0.000178 0.383099 70.803031 68.821627 1.981404 159.189602
0.000286 14562007 4160.569268 0.999986 1.001427 0.642929 229.994502 0.000178 0.383093 70.803128 68.821715 1.981413 159.191195
0.000286 14562008 4160.569554 0.999986 1.001427 0.642929 229.996200 0.000179 0.383086 70.803225 68.821802 1.981423 159.192796
0.000286 14562009 4160.569839 0.999986 1.001427 0.642929 229.997904 0.000179 0.383079 70.803322 68.821890 1.981432 159.194403
0.000286 14562010 4160.570125 0.999986 1.001427 0.642929 229.999614 0.000179 0.383072 70.803419 68.821977 1.981442 159.196016
0.000286 14562011 4160.570411 0.999986 1.001427 0.642929 230.001331 0.000179 0.383065 70.803516 68.822065 1.981451 159.197636
0.000286 14562012 4160.570697 0.999986 1.001426 0.642929 230.003055 0.000179 0.383058 70.803613 68.822152 1.981461 159.199262
