dt s t A/A0 V/V0 v et ega ev eb ebl ebn es
0.000100 0 0.000000 0.999953 1.000022 0.642059 55.029991 0.005640 0.000266 50.877565 48.493166 2.384399 4.146519
0.000100 100 0.010000 0.999986 1.000040 0.642039 55.101968 0.000514 0.000870 50.882866 48.498109 2.384757 4.217718
0.000100 200 0.020000 0.999995 1.000022 0.642018 55.321837 0.000053 0.000255 50.894176 48.508869 2.385307 4.427353
0.000100 300 0.030000 1.000006 1.000001 0.641994 55.683066 0.000081 0.000001 50.911993 48.525775 2.386218 4.770991
0.000100 400 0.040000 1.000016 0.999980 0.641970 56.181394 0.000663 0.000224 50.936226 48.548735 2.387490 5.244281
0.000100 500 0.050000 1.000027 0.999958 0.641946 56.812774 0.001823 0.000957 50.966838 48.577714 2.389124 5.843156
0.000100 600 0.060000 1.000038 0.999936 0.641922 57.573384 0.003573 0.002208 51.003808 48.612690 2.391118 6.563796
0.000100 700 0.070000 1.000049 0.999914 0.641897 58.459607 0.005917 0.003976 51.047110 48.653640 2.393471 7.402603
0.000100 800 0.080000 1.000059 0.999892 0.641873 59.468008 0.008859 0.006258 51.096714 48.700534 2.396180 8.356177
0.000100 900 0.090000 1.000070 0.999870 0.641848 60.595317 0.012398 0.009050 51.152579 48.753334 2.399245 9.421291
0.000100 1000 0.100000 1.000081 0.999849 0.641824 61.838404 0.016532 0.012342 51.214654 48.811993 2.402661 10.594876
0.000100 1100 0.110000 1.000092 0.999827 0.641800 63.194268 0.021255 0.016125 51.282880 48.876453 2.406427 11.874007
0.000100 1200 0.120000 1.000103 0.999805 0.641775 64.660024 0.026559 0.020389 51.357188 48.946649 2.410539 13.255888
0.000100 1300 0.130000 1.000114 0.999784 0.641751 66.232891 0.032434 0.025118 51.437498 49.022504 2.414994 14.737841
0.000100 1400 0.140000 1.000124 0.999763 0.641727 67.910182 0.038866 0.030298 51.523722 49.103934 2.419788 16.317296
0.000100 1500 0.150000 1.000135 0.999742 0.641703 69.689297 0.045841 0.035912 51.615761 49.190845 2.424916 17.991784
